This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
ncbpcX1cp            => sp=suff cl=cmn gn=b nu=p st=c ps2=1 gn2=c nu2=p
ncbpcX1cs            => sp=suff cl=cmn gn=b nu=p st=c ps2=1 gn2=c nu2=s
ncbpcX2fs            => sp=suff cl=cmn gn=b nu=p st=c ps2=2 gn2=f nu2=s
ncbpcX2mp            => sp=suff cl=cmn gn=b nu=p st=c ps2=2 gn2=m nu2=p
ncbpcX2ms            => sp=suff cl=cmn gn=b nu=p st=c ps2=2 gn2=m nu2=s
ncbpcX3fp            => sp=suff cl=cmn gn=b nu=p st=c ps2=3 gn2=f nu2=p
ncbpcX3fs            => sp=suff cl=cmn gn=b nu=p st=c ps2=3 gn2=f nu2=s
ncbpcX3mp            => sp=suff cl=cmn gn=b nu=p st=c ps2=3 gn2=m nu2=p
ncbpcX3ms            => sp=suff cl=cmn gn=b nu=p st=c ps2=3 gn2=m nu2=s
ncbpd                => sp=subs cl=cmn gn=b nu=p st=d
ncbs                 => sp=subs cl=cmn gn=b nu=s
ncbsXd               => sp=suff cl=cmn gn=b nu=s cl2=d
ncbsXh               => sp=suff cl=cmn gn=b nu=s cl2=h
ncbsa                => sp=subs cl=cmn gn=b nu=s st=a
ncbsc                => sp=subs cl=cmn gn=b nu=s st=c
ncbscX0              => sp=suff cl=cmn gn=b nu=s st=c cl2=unknown
ncbscX1cp            => sp=suff cl=cmn gn=b nu=s st=c ps2=1 gn2=c nu2=p
ncbscX1cs            => sp=suff cl=cmn gn=b nu=s st=c ps2=1 gn2=c nu2=s
ncbscX2fs            => sp=suff cl=cmn gn=b nu=s st=c ps2=2 gn2=f nu2=s
ncbscX2mp            => sp=suff cl=cmn gn=b nu=s st=c ps2=2 gn2=m nu2=p
ncbscX2ms            => sp=suff cl=cmn gn=b nu=s st=c ps2=2 gn2=m nu2=s
ncbscX3fs            => sp=suff cl=cmn gn=b nu=s st=c ps2=3 gn2=f nu2=s
ncbscX3mp            => sp=suff cl=cmn gn=b nu=s st=c ps2=3 gn2=m nu2=p
ncbscX3ms            => sp=suff cl=cmn gn=b nu=s st=c ps2=3 gn2=m nu2=s
ncbsd                => sp=subs cl=cmn gn=b nu=s st=d
ncf0                 => sp=subs cl=cmn gn=f nu=unknown
ncfd                 => sp=subs cl=cmn gn=f nu=d
ncfd0                => sp=subs cl=cmn gn=f nu=d st=unknown
ncfda                => sp=subs cl=cmn gn=f nu=d st=a
ncfdc                => sp=subs cl=cmn gn=f nu=d st=c
ncfdcX1cp            => sp=suff cl=cmn gn=f nu=d st=c ps2=1 gn2=c nu2=p
ncfdcX1cs            => sp=suff cl=cmn gn=f nu=d st=c ps2=1 gn2=c nu2=s
ncfdcX2fs            => sp=suff cl=cmn gn=f nu=d st=c ps2=2 gn2=f nu2=s
ncfdcX2mp            => sp=suff cl=cmn gn=f nu=d st=c ps2=2 gn2=m nu2=p
ncfdcX2ms            => sp=suff cl=cmn gn=f nu=d st=c ps2=2 gn2=m nu2=s
ncfdcX3fp            => sp=suff cl=cmn gn=f nu=d st=c ps2=3 gn2=f nu2=p
ncfdcX3fs            => sp=suff cl=cmn gn=f nu=d st=c ps2=3 gn2=f nu2=s
